spectra (nm),
517.13,0.026282041
517.49,0.026472728
517.85,0.026794755
518.21,0.026633951
518.56,0.02670901
518.92,0.02675187
519.28,0.027065203
519.64,0.027552443
520,0.02732052
520.36,0.027573929
520.71,0.02745704
521.07,0.027631463
521.43,0.027604463
521.79,0.027823136
522.15,0.027603878
522.5,0.027780939
522.86,0.027619173
523.22,0.027747063
523.58,0.027772641
523.94,0.028086584
524.29,0.028126839
524.65,0.028213911
525.01,0.028183491
525.37,0.028378058
525.72,0.028066615
526.08,0.028052854
526.44,0.027887758
526.8,0.027797827
527.15,0.027881598
527.51,0.028100094
527.87,0.028325835
528.23,0.028400791
528.58,0.028447923
528.94,0.028716817
529.3,0.02877989
529.66,0.028964872
530.01,0.028845108
530.37,0.029057743
530.73,0.029137543
531.08,0.029040507
531.44,0.028993417
531.8,0.029024439
532.15,0.029171331
532.51,0.029033769
532.87,0.028933522
533.23,0.029115994
533.58,0.029210888
533.94,0.028982324
534.3,0.029324685
534.65,0.029554441
535.01,0.029614996
535.37,0.029973768
535.72,0.029863925
536.08,0.029820749
536.43,0.029738624
536.79,0.029686664
537.15,0.029947091
537.5,0.030004328
537.86,0.029903676
538.22,0.03007596
538.57,0.030014205
538.93,0.030044219
539.29,0.030194106
539.64,0.030394275
540,0.030089127
540.35,0.03031715
540.71,0.030246487
541.07,0.030451711
541.42,0.030663434
541.78,0.030788177
542.13,0.030887256
542.49,0.031051753
542.84,0.031023421
543.2,0.031093315
543.56,0.031156663
543.91,0.031461504
544.27,0.031406661
544.62,0.031585892
544.98,0.031468354
545.33,0.031854068
545.69,0.031987466
546.04,0.032021721
546.4,0.032112512
546.75,0.032362348
547.11,0.032637885
547.47,0.032335086
547.82,0.032733782
548.18,0.032816795
548.53,0.033090682
548.89,0.033288256
549.24,0.03349978
549.6,0.033609976
549.95,0.033763603
550.31,0.03378666
550.66,0.033978219
551.02,0.034203413
551.37,0.034158351
551.72,0.034380145
552.08,0.034630808
552.43,0.034732075
552.79,0.035243873
553.14,0.035144403
553.5,0.035559064
553.85,0.035473471
554.21,0.035970084
554.56,0.035884952
554.92,0.036311512
555.27,0.036469872
555.62,0.036543829
555.98,0.036677107
556.33,0.036832998
556.69,0.037019411
557.04,0.037128495
557.4,0.037300828
557.75,0.037595541
558.1,0.037536112
558.46,0.038005543
558.81,0.038000513
559.17,0.038322574
559.52,0.038281764
559.87,0.03878725
560.23,0.039129076
560.58,0.039396389
560.93,0.039587735
561.29,0.039851713
561.64,0.039805035
561.99,0.04010693
562.35,0.040284342
562.7,0.040549745
563.06,0.040867911
563.41,0.04107132
563.76,0.041034441
564.12,0.041228631
564.47,0.041620536
564.82,0.04167156
565.18,0.041888667
565.53,0.041985034
565.88,0.042253073
566.23,0.042361941
566.59,0.042620339
566.94,0.042602575
567.29,0.042709608
567.65,0.042739977
568,0.043044097
568.35,0.043003906
568.71,0.043272654
569.06,0.043107008
569.41,0.043185373
569.76,0.043613116
570.12,0.043343212
570.47,0.043520408
570.82,0.043610809
571.17,0.043563199
571.53,0.043793898
571.88,0.044093193
572.23,0.043955927
572.58,0.044180047
572.94,0.044541999
573.29,0.04447974
573.64,0.044254633
573.99,0.044380913
574.34,0.044464249
574.7,0.044593397
575.05,0.044325718
575.4,0.044761332
575.75,0.044368913
576.11,0.044736663
576.46,0.044865646
576.81,0.044604845
577.16,0.044687906
577.51,0.044642197
577.86,0.044825434
578.22,0.044885359
578.57,0.044961951
578.92,0.044636504
579.27,0.044797973
579.62,0.044865018
579.97,0.044799123
580.33,0.044995631
580.68,0.044693737
581.03,0.044793552
581.38,0.044986961
581.73,0.044652688
582.08,0.045089104
582.43,0.045014518
582.78,0.0449207
583.14,0.044663142
583.49,0.044928994
583.84,0.044757524
584.19,0.044724249
584.54,0.044884226
584.89,0.044595586
585.24,0.04470235
585.59,0.044729593
585.94,0.044781606
586.29,0.044975594
586.65,0.044813938
587,0.044889957
587.35,0.045058816
587.7,0.044654591
588.05,0.044956906
588.4,0.044986189
588.75,0.044810912
589.1,0.044598284
589.45,0.045153971
589.8,0.044748058
590.15,0.044766236
590.5,0.044871616
590.85,0.044908224
591.2,0.045505733
591.55,0.045694577
591.9,0.045862777
592.25,0.045902547
592.6,0.045906506
592.95,0.046044333
593.3,0.046560953
593.65,0.04649902
594,0.046674929
594.35,0.046502862
594.7,0.046872997
595.05,0.046827709
595.4,0.047122068
595.75,0.047617644
596.1,0.047816313
596.45,0.047793708
596.8,0.048308736
597.15,0.048145175
597.5,0.04851674
597.85,0.048792977
598.2,0.048844417
598.55,0.049068697
598.9,0.049002842
599.24,0.049364571
599.59,0.049459004
599.94,0.049240518
600.29,0.049427795
600.64,0.049219754
600.99,0.049461323
601.34,0.049438509
601.69,0.049360823
602.04,0.04927998
602.39,0.04905592
602.73,0.049171661
603.08,0.049016658
603.43,0.048788329
603.78,0.048349561
604.13,0.048645395
604.48,0.048661738
604.83,0.04815051
605.18,0.047838118
605.52,0.04788621
605.87,0.047805475
606.22,0.047054389
606.57,0.046926479
606.92,0.046663793
607.27,0.046391986
607.61,0.046002539
607.96,0.045620085
608.31,0.045494608
608.66,0.0452825
609.01,0.044850717
609.36,0.044493791
609.7,0.0442532
610.05,0.043798534
610.4,0.043417319
610.75,0.043320335
611.1,0.042684968
611.44,0.04292113
611.79,0.042254936
612.14,0.042396221
612.49,0.041942902
612.83,0.041645379
613.18,0.041302719
613.53,0.040711412
613.88,0.040803948
614.22,0.040307629
614.57,0.040006228
614.92,0.040026283
615.27,0.040118384
615.61,0.039943105
615.96,0.039319643
616.31,0.039227185
616.66,0.039220271
617,0.038648849
617.35,0.038645533
617.7,0.038505319
618.04,0.038362164
618.39,0.038243533
618.74,0.038204407
619.08,0.038190454
619.43,0.037634686
619.78,0.037823482
620.12,0.037436718
620.47,0.037639432
620.82,0.037375464
621.16,0.037480487
621.51,0.03776479
621.86,0.037168904
622.2,0.037304224
622.55,0.037008446
622.9,0.03718506
623.24,0.037045504
623.59,0.036980588
623.94,0.037038301
624.28,0.036904803
624.63,0.03677785
624.98,0.036981574
625.32,0.036772839
625.67,0.036846404
626.01,0.037006583
626.36,0.036325722
