wavelength (nm),reflection
579.27,0.346924245
579.62,0.346212549
579.97,0.346919707
580.33,0.346510058
580.68,0.347303549
581.03,0.347842692
581.38,0.348454691
581.73,0.349077698
582.08,0.350348904
582.43,0.349908527
582.78,0.350304626
583.14,0.350500352
583.49,0.351050101
583.84,0.350774241
584.19,0.350936776
584.54,0.351290738
584.89,0.352235116
585.24,0.351729702
585.59,0.352890584
585.94,0.352156885
586.29,0.352621931
586.65,0.352670952
587,0.352246935
587.35,0.352773548
587.7,0.352904945
588.05,0.352292239
588.4,0.350853839
588.75,0.350895811
589.1,0.350820844
589.45,0.351350811
589.8,0.352243578
590.15,0.352160651
590.5,0.353763529
590.85,0.352648053
591.2,0.353884058
591.55,0.354224641
591.9,0.353402595
592.25,0.354821639
592.6,0.354870997
592.95,0.355518086
593.3,0.355578943
593.65,0.356006306
594,0.355187541
594.35,0.354884328
594.7,0.356003746
595.05,0.356930343
595.4,0.356676558
595.75,0.356918087
596.1,0.356743786
596.45,0.35775432
596.8,0.357360078
597.15,0.357734701
597.5,0.358705001
597.85,0.358361443
598.2,0.358906435
598.55,0.359164998
598.9,0.358202146
599.24,0.359597203
599.59,0.360404469
599.94,0.359491565
600.29,0.359615148
600.64,0.360617914
600.99,0.35986458
601.34,0.360692734
601.69,0.360862021
602.04,0.360867393
602.39,0.361794867
602.73,0.361924123
603.08,0.361449187
603.43,0.361047876
603.78,0.361591215
604.13,0.361246342
604.48,0.361052333
604.83,0.361777455
605.18,0.362225424
605.52,0.36233493
605.87,0.361988362
606.22,0.361777931
606.57,0.36214057
606.92,0.362070343
607.27,0.362067315
607.61,0.36226495
607.96,0.362609737
608.31,0.361144964
608.66,0.361546083
609.01,0.362116631
609.36,0.361739135
609.7,0.362334316
610.05,0.361939937
610.4,0.362051979
610.75,0.361934478
611.1,0.361462287
611.44,0.362000245
611.79,0.362263175
612.14,0.361501716
612.49,0.361263915
612.83,0.361345466
613.18,0.361645662
613.53,0.361398467
613.88,0.361596163
614.22,0.361774999
614.57,0.360898044
614.92,0.361656831
615.27,0.361363799
615.61,0.361751972
615.96,0.361257658
616.31,0.360722126
616.66,0.361099536
617,0.360688575
617.35,0.362188064
617.7,0.361567334
618.04,0.361906993
618.39,0.362019867
618.74,0.361730382
619.08,0.362335469
619.43,0.36237983
619.78,0.361642423
620.12,0.36213202
620.47,0.362247182
620.82,0.362848061
621.16,0.361639964
621.51,0.361899502
621.86,0.36224425
622.2,0.362166998
622.55,0.362736617
622.9,0.362592697
623.24,0.362601489
623.59,0.363423959
623.94,0.362695913
624.28,0.362343292
624.63,0.363508717
624.98,0.364082845
625.32,0.362742114
625.67,0.362808945
626.01,0.363296761
626.36,0.364302704
626.71,0.363270163
627.05,0.363268727
627.4,0.362512058
627.74,0.362936888
628.09,0.3636535
628.43,0.363477921
628.78,0.363321387
629.13,0.364435173
629.47,0.364104999
629.82,0.363426867
630.16,0.363993936
630.51,0.363817755
630.85,0.363258592
631.2,0.364632285
631.54,0.364528989
631.89,0.365019562
632.24,0.365751571
632.58,0.365512322
632.93,0.364374635
633.27,0.364763355
633.62,0.366085925
633.96,0.365382051
634.31,0.366459387
634.65,0.365581308
635,0.366394011
635.34,0.367689014
635.69,0.365698444
636.03,0.367368587
636.38,0.366860158
636.72,0.367738474
637.07,0.367030607
637.41,0.368004905
637.75,0.367469207
638.1,0.367890661
638.44,0.368275178
638.79,0.369271858
639.13,0.368100983
639.48,0.368158338
639.82,0.368904466
640.17,0.368564122
640.51,0.36953742
640.85,0.370176919
641.2,0.369719071
641.54,0.37026254
641.89,0.369720982
642.23,0.371016306
642.57,0.370243979
642.92,0.370940763
643.26,0.370089575
643.61,0.370640175
643.95,0.370727821
644.29,0.37131789
644.64,0.371812262
644.98,0.370602863
645.33,0.370583569
645.67,0.370634027
646.01,0.371397927
646.36,0.370673863
646.7,0.37031642
647.04,0.370830861
647.39,0.371505568
647.73,0.369596704
648.07,0.371152443
648.42,0.369116505
648.76,0.37134259
649.1,0.371333476
649.45,0.372066287
649.79,0.372038863
650.13,0.371149817
650.48,0.371011371
650.82,0.371937332
651.16,0.371114184
651.5,0.370781713
651.85,0.37130003
652.19,0.370928755
652.53,0.370218176
652.88,0.371166137
653.22,0.370252184
653.56,0.370280547
653.9,0.370401382
654.25,0.370031891
654.59,0.369631789
654.93,0.368359845
655.27,0.368828791
655.62,0.368332683
655.96,0.369637566
656.3,0.367726046
656.64,0.36872467
656.99,0.367345783
657.33,0.367594952
657.67,0.368097889
658.01,0.366595288
658.35,0.36610085
658.7,0.365324021
659.04,0.366772316
659.38,0.36431999
659.72,0.362821956
660.06,0.362831656
660.41,0.363037539
660.75,0.362401144
661.09,0.362395893
661.43,0.360949787
661.77,0.361455302
662.11,0.359854506
662.46,0.358936522
662.8,0.358889731
663.14,0.358542997
663.48,0.357557114
663.82,0.357502192
664.16,0.3558627
664.5,0.355430261
664.85,0.356179934
665.19,0.354749942
665.53,0.354719556
665.87,0.353502962
666.21,0.352267227
666.55,0.351924735
666.89,0.351284867
667.23,0.351869457
667.57,0.350400959
667.92,0.350364711
668.26,0.349853342
668.6,0.349663121
668.94,0.350248154
669.28,0.350173148
669.62,0.348294476
669.96,0.348263101
670.3,0.349086246
670.64,0.347870724
670.98,0.347642428
671.32,0.347620013
671.66,0.347361956
672,0.347212164
672.34,0.347809116
672.68,0.348024749
673.02,0.347651484
673.36,0.34810788
673.7,0.347246302
674.04,0.34735526
674.38,0.347249295
674.72,0.346714133
675.06,0.347843851
675.4,0.347264699
675.74,0.347954718
676.08,0.348850619
676.42,0.349182651
676.76,0.348137504
677.1,0.34894882
677.44,0.348759054
677.78,0.350121066
678.12,0.350083958
678.46,0.349879177
678.8,0.351069637
679.14,0.350289182
679.48,0.35129333
679.82,0.352128429
680.16,0.352034034
680.5,0.354209147
680.84,0.353446753
681.18,0.353199898
681.51,0.353943091
681.85,0.356502414
682.19,0.356695032
682.53,0.357420247
682.87,0.358548361
683.21,0.359177472
683.55,0.359323198
683.89,0.361355483
684.23,0.36182514
684.56,0.363487749
684.9,0.363846863
685.24,0.36463486
685.58,0.365128352
685.92,0.365707194
686.26,0.366587421
686.6,0.368052652
686.93,0.371439896
687.27,0.370377543
687.61,0.373152619
687.95,0.375333854
688.29,0.375458519
688.63,0.376524098
688.96,0.378278959
689.3,0.378599824
689.64,0.38160692
689.98,0.3818372
690.32,0.382357246
690.65,0.383164114
690.99,0.385044033
691.33,0.386941339
691.67,0.386723347
692.01,0.387496335
692.34,0.390511797
692.68,0.389782626
693.02,0.392121661
693.36,0.394070169
693.69,0.392720949
694.03,0.394927237
694.37,0.398054235
694.71,0.398675874
695.04,0.398136792
695.38,0.40196646
695.72,0.402125175
696.06,0.404398964
696.39,0.405020835
696.73,0.405163718
697.07,0.406659786
697.4,0.407332736
697.74,0.406862717
698.08,0.406445183
698.42,0.409619528
698.75,0.409351961
699.09,0.410240917
699.43,0.411896753
699.76,0.411770437
700.1,0.412150914
700.44,0.414319618
700.77,0.415317759
701.11,0.41540538
701.45,0.415864885
701.78,0.418570246
702.12,0.416467175
702.45,0.418714413
702.79,0.420527487
703.13,0.419380486
703.46,0.421264626
703.8,0.422292226
704.14,0.420439991
704.47,0.42185712
704.81,0.421844092
705.14,0.423489157
705.48,0.423917068
705.82,0.42477151
706.15,0.426470998
706.49,0.425151558
706.82,0.424286803
707.16,0.425372045
707.5,0.427254097
707.83,0.425904825
708.17,0.428284092
708.5,0.428160609
708.84,0.427374017
709.17,0.430210056
709.51,0.431069036
709.84,0.43059093
710.18,0.429949554
710.52,0.430102137
710.85,0.429354504
711.19,0.431396258
711.52,0.433300613
711.86,0.432560216
712.19,0.432396512
712.53,0.433919205
712.86,0.43282136
713.2,0.433315856
713.53,0.432838088
713.87,0.433368165
714.2,0.434910552
714.54,0.434825364
714.87,0.434506109
715.21,0.435433699
715.54,0.433996081
715.88,0.435397779
716.21,0.436184992
716.54,0.43457967
716.88,0.433911542
717.21,0.436610098
717.55,0.43465931
717.88,0.436600089
718.22,0.435937655
718.55,0.437503494
718.88,0.435526101
719.22,0.439663677
719.55,0.438195611
719.89,0.437295335
720.22,0.442127542
720.56,0.442636186
720.89,0.441259759
721.22,0.439364984
721.56,0.442508426
721.89,0.441965236
722.22,0.44135619
722.56,0.441702028
722.89,0.439785112
723.23,0.442548244
723.56,0.441208375
723.89,0.442995354
724.23,0.441448391
724.56,0.441619213
724.89,0.443405431
725.23,0.441529805
725.56,0.443037893
725.89,0.444894015
726.23,0.442003786
726.56,0.442514733
726.89,0.4450364
727.23,0.444917022
727.56,0.443875476
727.89,0.445802752
728.23,0.444223076
728.56,0.446844181
728.89,0.447617464
729.22,0.44335945
729.56,0.447001682
729.89,0.446678517
730.22,0.445059703
730.55,0.44653311
730.89,0.44551701
731.22,0.445319622
731.55,0.445385355
731.89,0.447790603
732.22,0.448050714
732.55,0.446915365
732.88,0.447493451
733.21,0.447483809
733.55,0.449469151
733.88,0.448696151
734.21,0.450275756
734.54,0.449582306
734.88,0.449676042
735.21,0.449691548
735.54,0.4486197
735.87,0.447712118
736.2,0.449959389
