02_Pavona_frondifera,reflection
375.18,0.004107912
375.55,-0.029378815
375.92,0.009757642
376.3,-0.008472196
376.67,0.024166176
377.04,0.018981518
377.41,0.019188126
377.79,0.009918897
378.16,0.020309149
378.53,0.024705846
378.91,0.017109317
379.28,0.00367422
379.65,0.018713168
380.02,0.03521475
380.4,0.016760229
380.77,0.030635396
381.14,0.033752909
381.51,0.03567932
381.88,-0.010711417
382.26,0.005334419
382.63,-0.012056974
383,0.010188658
383.37,-0.001347884
383.75,0.005226648
384.12,0.044400239
384.49,0.01855061
384.86,0.017577319
385.23,0.018848802
385.61,0.02261604
385.98,0.009091085
386.35,0.021079192
386.72,0.030607378
387.09,0.026805254
387.46,0.024945879
387.84,0.015121247
388.21,0.029653743
388.58,0.030334118
388.95,0.04346172
389.32,0.030590104
389.69,0.016296834
390.07,0.028547468
390.44,0.027963596
390.81,0.028501488
391.18,0.031537518
391.55,0.031852044
391.92,0.023554206
392.29,0.018543054
392.67,0.035415752
393.04,0.041958918
393.41,0.017647146
393.78,0.022502988
394.15,0.034799625
394.52,0.022964152
394.89,0.052481722
395.26,0.038584015
395.63,0.037097481
396.01,0.0448284
396.38,0.040962955
396.75,0.036040372
397.12,0.038774077
397.49,0.035489235
397.86,0.041726896
398.23,0.053019997
398.6,0.045534464
398.97,0.044754044
399.34,0.040030212
399.71,0.04408475
400.08,0.045122444
400.45,0.041151673
400.83,0.04595184
401.2,0.047048642
401.57,0.048483167
401.94,0.049988721
402.31,0.040355786
402.68,0.052931906
403.05,0.047095204
403.42,0.053567037
403.79,0.040713966
404.16,0.049296859
404.53,0.047333949
404.9,0.043214176
405.27,0.049540988
405.64,0.048388971
406.01,0.05037271
406.38,0.052356967
406.75,0.044952384
407.12,0.040668494
407.49,0.041070432
407.86,0.04948782
408.23,0.046490468
408.6,0.043104628
408.97,0.04807739
409.34,0.047484008
409.71,0.048790322
410.08,0.04332866
410.45,0.047875097
410.81,0.045790002
411.18,0.042019861
411.55,0.050622461
411.92,0.042735565
412.29,0.042003016
412.66,0.043894583
413.03,0.048745498
413.4,0.055006142
413.77,0.044109345
414.14,0.041498771
414.51,0.048055986
414.88,0.044658477
415.25,0.046690011
415.62,0.049256337
415.98,0.045125764
416.35,0.043815269
416.72,0.044524314
417.09,0.053508471
417.46,0.046351151
417.83,0.04630984
418.2,0.042152796
418.57,0.042248538
418.94,0.050185416
419.3,0.052329839
419.67,0.04630914
420.04,0.046791233
420.41,0.04267791
420.78,0.04710285
421.15,0.050050692
421.52,0.044198218
421.88,0.041952134
422.25,0.048082816
422.62,0.041416433
422.99,0.046189151
423.36,0.042955661
423.73,0.0462122
424.09,0.042206137
424.46,0.045094926
424.83,0.047480003
425.2,0.047330832
425.57,0.04397971
425.93,0.052434518
426.3,0.042803432
426.67,0.041658913
427.04,0.047318824
427.41,0.048023078
427.77,0.046051712
428.14,0.044403571
428.51,0.046900948
428.88,0.044220616
429.24,0.041560093
429.61,0.048761933
429.98,0.040510361
430.35,0.047621893
430.72,0.048810548
431.08,0.042058761
431.45,0.041236147
431.82,0.04088219
432.18,0.046485282
432.55,0.045668023
432.92,0.047241372
433.29,0.038662347
433.65,0.048436105
434.02,0.045304039
434.39,0.044164961
434.76,0.043902042
435.12,0.048769394
435.49,0.049344939
435.86,0.047801147
436.22,0.043598858
436.59,0.04303251
436.96,0.046057365
437.32,0.043761137
437.69,0.044606064
438.06,0.041519793
438.43,0.045891658
438.79,0.043140944
439.16,0.042991041
439.53,0.046539615
439.89,0.045830982
440.26,0.04144327
440.63,0.046343348
440.99,0.044987697
441.36,0.044546127
441.72,0.039810215
442.09,0.048227451
442.46,0.040138922
442.82,0.044840349
443.19,0.046860709
443.56,0.04372804
443.92,0.04569755
444.29,0.043913293
444.66,0.043267785
445.02,0.045120703
445.39,0.043693799
445.75,0.042165292
446.12,0.045972537
446.49,0.043621165
446.85,0.046262151
