spectra (nm),avg. montiporadigitata
526.44,0.060961479
526.8,0.060670224
527.15,0.060929078
527.51,0.061236208
527.87,0.061705478
528.23,0.062223122
528.58,0.06276191
528.94,0.063310322
529.3,0.063519709
529.66,0.06354156
530.01,0.063641547
530.37,0.064096571
530.73,0.064441596
531.08,0.064398247
531.44,0.064600883
531.8,0.064265409
532.15,0.064022436
532.51,0.063904828
532.87,0.063877356
533.23,0.064235156
533.58,0.064777383
533.94,0.064815594
534.3,0.065314215
534.65,0.065614495
535.01,0.066063846
535.37,0.066490205
535.72,0.066552564
536.08,0.066772408
536.43,0.066347251
536.79,0.06640504
537.15,0.066824164
537.5,0.066850772
537.86,0.067468909
538.22,0.068040366
538.57,0.067970528
538.93,0.067860012
539.29,0.067999424
539.64,0.068118497
540,0.068025224
540.35,0.068039457
540.71,0.06845595
541.07,0.06870416
541.42,0.069168953
541.78,0.069696227
542.13,0.069870998
542.49,0.070445068
542.84,0.070744877
543.2,0.071127785
543.56,0.071280978
543.91,0.072216353
544.27,0.072404651
544.62,0.072907093
544.98,0.073122771
545.33,0.073562952
545.69,0.073812226
546.04,0.074164654
546.4,0.074725181
546.75,0.074908097
547.11,0.075493726
547.47,0.075650105
547.82,0.07638305
548.18,0.07667807
548.53,0.077554229
548.89,0.078004355
549.24,0.078418104
549.6,0.078979563
549.95,0.079564397
550.31,0.079978589
550.66,0.080692299
551.02,0.080992062
551.37,0.081713491
551.72,0.082661364
552.08,0.083113836
552.43,0.083476225
552.79,0.084139063
553.14,0.084831384
553.5,0.085465175
553.85,0.086304348
554.21,0.087400406
554.56,0.087613497
554.92,0.088502419
555.27,0.089353995
555.62,0.089748957
555.98,0.090266566
556.33,0.091041954
556.69,0.091621783
557.04,0.092039373
557.4,0.092794726
557.75,0.093394256
558.1,0.09450929
558.46,0.094991822
558.81,0.095604549
559.17,0.096318179
559.52,0.097322519
559.87,0.09810566
560.23,0.099509304
560.58,0.100321541
560.93,0.101506892
561.29,0.102304681
561.64,0.10298713
561.99,0.103947011
562.35,0.104822298
562.7,0.105775014
563.06,0.106923343
563.41,0.108153555
563.76,0.108785031
564.12,0.109188519
564.47,0.110374759
564.82,0.111204761
565.18,0.111986262
565.53,0.112814187
565.88,0.113588474
566.23,0.114324952
566.59,0.11562389
566.94,0.116775163
567.29,0.11751584
567.65,0.117916938
568,0.118569275
568.35,0.119028949
568.71,0.119745717
569.06,0.120532061
569.41,0.121157173
569.76,0.121981792
570.12,0.122571941
570.47,0.123087092
570.82,0.12362747
571.17,0.124540406
571.53,0.124633645
571.88,0.126079787
572.23,0.126620798
572.58,0.126922415
572.94,0.127692998
573.29,0.128131015
573.64,0.128451346
573.99,0.128705687
574.34,0.128888528
574.7,0.129614465
575.05,0.129607505
575.4,0.129957446
575.75,0.130428502
576.11,0.130554228
576.46,0.13076215
576.81,0.130925493
577.16,0.131165657
577.51,0.131204027
577.86,0.131371434
578.22,0.131230179
578.57,0.131325552
578.92,0.131482636
579.27,0.131418253
579.62,0.131565584
579.97,0.131644969
580.33,0.131587096
580.68,0.131688457
581.03,0.131606714
581.38,0.131398265
581.73,0.13110613
582.08,0.131348493
582.43,0.131250847
582.78,0.131373069
583.14,0.131025948
583.49,0.130764001
583.84,0.130913778
584.19,0.130438073
584.54,0.130215593
584.89,0.130137392
585.24,0.130194574
585.59,0.12946578
585.94,0.12909408
586.29,0.12918885
586.65,0.129024529
587,0.128955927
587.35,0.12851014
587.7,0.128176988
588.05,0.12797115
588.4,0.127481296
588.75,0.127369017
589.1,0.127181292
589.45,0.126761483
589.8,0.126654881
590.15,0.127091707
590.5,0.127185671
590.85,0.127482951
591.2,0.127802871
591.55,0.127731781
591.9,0.12819897
592.25,0.127957689
592.6,0.128694215
592.95,0.129118212
593.3,0.129468831
593.65,0.129948409
594,0.130300831
594.35,0.130439963
594.7,0.130727382
595.05,0.13083231
595.4,0.131982263
595.75,0.132450333
596.1,0.13366814
596.45,0.133740932
596.8,0.134589217
597.15,0.135401136
597.5,0.135641942
597.85,0.136659018
598.2,0.137367452
598.55,0.13837226
598.9,0.138996862
599.24,0.139756276
599.59,0.140173788
599.94,0.14101079
600.29,0.141391454
600.64,0.141925148
600.99,0.142873087
601.34,0.143324212
601.69,0.144080068
602.04,0.144409231
602.39,0.144864288
602.73,0.144875588
603.08,0.145628515
603.43,0.146092282
603.78,0.146008402
604.13,0.146570218
604.48,0.146648791
604.83,0.146503024
605.18,0.14679715
605.52,0.146044353
605.87,0.146120661
606.22,0.1459256
606.57,0.14569419
