seagrass,ref
558.46,0.056620702
558.81,0.056471066
559.17,0.056375157
559.52,0.056322821
559.87,0.056272472
560.23,0.056387984
560.58,0.056513442
560.93,0.056629016
561.29,0.056223096
561.64,0.056130464
561.99,0.056158451
562.35,0.056068767
562.7,0.056163865
563.06,0.055921036
563.41,0.055869997
563.76,0.055897559
564.12,0.055530162
564.47,0.055640685
564.82,0.055289217
565.18,0.054896389
565.53,0.055014209
565.88,0.054977706
566.23,0.054662704
566.59,0.054684625
566.94,0.054534369
567.29,0.054523647
567.65,0.054303718
568,0.053992921
568.35,0.053651937
568.71,0.053358074
569.06,0.053279063
569.41,0.053213063
569.76,0.053150288
570.12,0.052884055
570.47,0.05283589
570.82,0.052605217
571.17,0.052520533
571.53,0.052535502
571.88,0.052586463
572.23,0.052415598
572.58,0.052278256
572.94,0.05218955
573.29,0.052018585
573.64,0.051937407
573.99,0.052072455
574.34,0.051961882
574.7,0.051762405
575.05,0.051609087
575.4,0.051362707
575.75,0.051120255
576.11,0.051302932
576.46,0.051221238
576.81,0.051392062
577.16,0.051249467
577.51,0.051118069
577.86,0.051100679
578.22,0.051257371
578.57,0.050860575
578.92,0.051002084
579.27,0.050875371
579.62,0.05098931
579.97,0.051345002
580.33,0.050956213
580.68,0.050891216
581.03,0.051048484
581.38,0.051182947
581.73,0.051124558
582.08,0.05115584
582.43,0.051228108
582.78,0.050724906
583.14,0.050812832
583.49,0.050975538
583.84,0.050807963
584.19,0.05072988
584.54,0.050736915
584.89,0.050664871
585.24,0.050591764
585.59,0.050532254
585.94,0.05082302
586.29,0.05034006
586.65,0.050344175
587,0.050483573
587.35,0.050408951
587.7,0.050219947
588.05,0.050259314
588.4,0.050258716
588.75,0.049862893
589.1,0.04962094
589.45,0.049606867
589.8,0.049703613
590.15,0.049482763
590.5,0.04936801
590.85,0.049391049
591.2,0.049445541
591.55,0.049404553
591.9,0.049392481
592.25,0.049562827
592.6,0.049586575
592.95,0.04979384
593.3,0.049424472
593.65,0.049399504
594,0.049260371
594.35,0.049284967
594.7,0.049232379
595.05,0.049246128
595.4,0.049365381
595.75,0.04936834
596.1,0.049223806
596.45,0.048948554
596.8,0.049229569
597.15,0.049438762
597.5,0.049238917
597.85,0.049516847
598.2,0.049369354
598.55,0.049145885
598.9,0.049276678
599.24,0.049347164
599.59,0.049286131
599.94,0.049368981
600.29,0.049073917
600.64,0.049114795
600.99,0.049181225
601.34,0.049212153
601.69,0.049077209
602.04,0.048734696
602.39,0.048906983
602.73,0.048844822
603.08,0.048910056
603.43,0.048852229
603.78,0.04893404
604.13,0.0488657
604.48,0.04887475
604.83,0.048805482
605.18,0.048732806
605.52,0.048607487
605.87,0.048564985
606.22,0.048560944
606.57,0.048506487
606.92,0.048182432
