Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
394,5.60E-06,8.01E-03,4.92E-07,3.27E-07,5.23E-05,2.35E-07,1.92E-06,4.89E-09,2.82E-07
395,6.03E-06,2.74E-02,5.83E-07,3.70E-07,2.73E-05,2.51E-07,1.30E-06,8.25E-09,2.25E-07
396,5.65E-06,4.74E-02,6.78E-07,4.13E-07,1.53E-06,2.68E-07,6.66E-07,1.17E-08,1.67E-07
397,5.24E-06,1.04E-01,7.18E-07,4.73E-07,8.13E-07,3.42E-07,1.08E-06,3.74E-08,1.90E-07
398,4.83E-06,1.62E-01,7.59E-07,5.33E-07,8.81E-08,4.18E-07,1.51E-06,6.38E-08,2.13E-07
399,4.39E-06,2.58E-01,1.77E-06,4.88E-07,4.99E-08,3.57E-07,1.76E-06,1.21E-07,2.14E-07
400,3.95E-06,3.56E-01,2.80E-06,4.43E-07,1.06E-08,2.95E-07,2.02E-06,1.79E-07,2.14E-07
401,3.82E-06,4.59E-01,2.65E-06,4.66E-07,4.49E-08,2.98E-07,1.44E-06,9.01E-08,1.79E-07
402,3.68E-06,5.63E-01,2.50E-06,4.88E-07,7.91E-08,3.01E-07,8.59E-07,3.81E-11,1.41E-07
403,3.54E-06,6.22E-01,2.30E-06,4.82E-07,5.99E-08,3.01E-07,1.42E-06,5.49E-08,1.43E-07
404,3.40E-06,6.82E-01,2.12E-06,4.76E-07,4.04E-08,3.00E-07,1.98E-06,1.10E-07,1.45E-07
405,3.27E-06,7.01E-01,1.65E-06,4.95E-07,3.13E-08,2.87E-07,1.64E-06,1.04E-07,1.78E-07
406,3.45E-06,7.20E-01,1.19E-06,5.15E-07,2.22E-08,2.74E-07,1.30E-06,9.83E-08,2.11E-07
407,3.63E-06,7.33E-01,1.07E-06,5.01E-07,8.03E-08,3.37E-07,1.10E-06,9.77E-08,2.24E-07
408,3.82E-06,7.46E-01,9.57E-07,4.87E-07,1.39E-07,4.02E-07,8.96E-07,9.65E-08,2.36E-07
409,4.01E-06,7.56E-01,1.76E-06,5.04E-07,1.57E-07,4.08E-07,9.40E-07,9.64E-08,3.20E-07
410,4.19E-06,7.65E-01,2.57E-06,5.21E-07,1.75E-07,4.14E-07,9.78E-07,9.63E-08,4.05E-07
411,4.59E-06,7.73E-01,3.87E-06,4.60E-07,1.88E-07,3.90E-07,1.05E-06,1.39E-07,3.11E-07
412,4.98E-06,7.82E-01,5.18E-06,3.98E-07,2.01E-07,3.65E-07,1.13E-06,1.81E-07,2.19E-07
413,5.42E-06,7.94E-01,7.13E-06,3.82E-07,1.84E-07,3.55E-07,9.97E-07,1.70E-07,2.13E-07
414,5.86E-06,8.07E-01,9.12E-06,3.66E-07,1.67E-07,3.45E-07,8.66E-07,1.58E-07,2.08E-07
415,6.29E-06,8.17E-01,1.35E-05,3.59E-07,1.35E-07,6.23E-07,8.77E-07,8.63E-08,1.58E-07
416,5.73E-06,8.27E-01,1.79E-05,3.52E-07,1.02E-07,9.05E-07,8.88E-07,1.42E-08,1.07E-07
417,5.14E-06,8.35E-01,2.43E-05,4.69E-07,1.62E-07,6.86E-07,1.61E-06,5.04E-08,1.35E-07
418,4.56E-06,8.42E-01,3.08E-05,5.86E-07,2.23E-07,4.61E-07,2.34E-06,8.65E-08,1.65E-07
419,3.98E-06,8.52E-01,3.60E-05,4.62E-07,2.13E-07,3.73E-07,1.74E-06,9.06E-08,1.19E-07
420,3.40E-06,8.62E-01,4.12E-05,3.38E-07,2.02E-07,2.85E-07,1.15E-06,9.41E-08,7.18E-08
421,4.46E-06,8.70E-01,4.55E-05,4.27E-07,1.94E-07,3.03E-07,1.09E-06,7.26E-08,1.16E-07
422,5.54E-06,8.79E-01,4.98E-05,5.18E-07,1.87E-07,3.22E-07,1.02E-06,5.06E-08,1.61E-07
423,6.62E-06,8.88E-01,5.33E-05,4.59E-07,3.36E-07,2.90E-07,7.41E-07,5.24E-08,2.16E-07
424,7.69E-06,8.97E-01,5.69E-05,3.99E-07,4.86E-07,2.58E-07,4.53E-07,5.42E-08,2.71E-07
425,8.84E-06,9.05E-01,7.01E-05,3.74E-07,3.33E-07,2.85E-07,7.41E-07,1.02E-07,2.30E-07
426,9.51E-06,9.13E-01,8.33E-05,3.49E-07,1.80E-07,3.11E-07,1.04E-06,1.50E-07,1.89E-07
427,1.02E-05,9.16E-01,1.17E-04,3.62E-07,2.14E-07,2.86E-07,1.03E-06,1.45E-07,1.72E-07
428,1.08E-05,9.18E-01,1.50E-04,3.76E-07,2.49E-07,2.60E-07,1.02E-06,1.40E-07,1.56E-07
429,1.14E-05,9.23E-01,2.43E-04,3.48E-07,2.54E-07,2.88E-07,5.33E-06,1.11E-07,1.42E-07
430,1.21E-05,9.27E-01,3.37E-04,3.21E-07,2.58E-07,3.15E-07,9.68E-06,8.09E-08,1.28E-07
431,2.72E-05,9.36E-01,5.49E-04,3.45E-07,3.22E-07,3.39E-07,3.78E-05,1.56E-07,1.74E-07
432,4.23E-05,9.44E-01,7.62E-04,3.69E-07,3.87E-07,3.63E-07,6.63E-05,2.32E-07,2.22E-07
433,5.75E-05,9.51E-01,1.15E-03,4.61E-07,3.78E-07,2.89E-07,3.55E-05,2.02E-07,1.73E-07
434,7.27E-05,9.59E-01,1.55E-03,5.54E-07,3.69E-07,2.15E-07,4.63E-06,1.73E-07,1.24E-07
435,8.81E-05,9.65E-01,2.28E-03,4.62E-07,4.30E-07,1.62E-07,2.51E-06,1.04E-07,1.14E-07
436,1.62E-04,9.71E-01,3.01E-03,3.69E-07,4.90E-07,1.09E-07,3.73E-07,3.43E-08,1.03E-07
437,2.35E-04,9.77E-01,4.62E-03,3.20E-07,4.31E-07,1.65E-07,3.57E-07,7.30E-08,5.51E-07
438,3.09E-04,9.82E-01,6.24E-03,2.71E-07,3.72E-07,2.22E-07,3.40E-07,1.12E-07,1.00E-06
439,3.84E-04,9.84E-01,1.30E-02,2.22E-07,6.99E-07,2.50E-07,5.84E-07,8.48E-07,1.09E-06
440,4.60E-04,9.86E-01,1.98E-02,1.75E-07,1.03E-06,2.79E-07,8.32E-07,1.60E-06,1.19E-06
441,9.51E-04,9.87E-01,3.89E-02,2.25E-07,3.13E-06,1.98E-07,1.55E-05,4.78E-06,6.70E-07
442,1.45E-03,9.87E-01,5.82E-02,2.78E-07,5.26E-06,1.15E-07,3.02E-05,8.01E-06,1.48E-07
443,1.94E-03,9.91E-01,1.05E-01,3.77E-07,4.75E-06,2.76E-07,1.76E-05,4.23E-06,1.48E-07
444,2.44E-03,9.94E-01,1.53E-01,4.75E-07,4.24E-06,4.36E-07,4.93E-06,4.52E-07,1.48E-07
445,2.95E-03,9.97E-01,2.45E-01,5.34E-07,3.23E-06,3.78E-07,2.59E-06,3.69E-07,2.13E-07
446,2.40E-02,1.00E+00,3.38E-01,5.93E-07,2.21E-06,3.20E-07,2.30E-07,2.85E-07,2.78E-07
447,4.52E-02,9.83E-01,4.48E-01,4.36E-07,1.53E-06,2.53E-07,2.32E-07,1.57E-07,1.35E-06
448,6.66E-02,9.66E-01,5.59E-01,2.78E-07,8.43E-07,1.86E-07,2.35E-07,2.78E-08,2.44E-06
449,8.77E-02,9.10E-01,6.30E-01,4.22E-07,6.93E-07,2.50E-07,2.17E-07,2.04E-07,1.83E-06
450,1.10E-01,8.54E-01,7.01E-01,5.66E-07,5.38E-07,3.14E-07,1.98E-07,3.81E-07,1.22E-06
451,1.74E-01,7.53E-01,7.27E-01,6.15E-07,4.29E-07,2.94E-07,2.66E-07,3.12E-07,1.01E-06
452,2.38E-01,6.53E-01,7.52E-01,6.63E-07,3.19E-07,2.74E-07,3.34E-07,2.42E-07,7.93E-07
453,3.04E-01,5.23E-01,7.63E-01,5.46E-07,3.70E-07,2.72E-07,2.37E-07,2.87E-07,8.64E-07
454,3.70E-01,3.93E-01,7.74E-01,4.27E-07,4.23E-07,2.70E-07,1.40E-07,3.33E-07,9.35E-07
455,4.36E-01,2.82E-01,7.78E-01,4.58E-07,3.93E-07,3.05E-07,1.28E-07,3.27E-07,5.67E-07
456,4.46E-01,1.69E-01,7.83E-01,4.88E-07,3.63E-07,3.41E-07,1.15E-07,3.22E-07,1.95E-07
457,4.56E-01,1.10E-01,7.87E-01,5.06E-07,3.53E-07,2.47E-07,1.54E-07,2.78E-07,1.69E-07
458,4.67E-01,5.07E-02,7.91E-01,5.23E-07,3.42E-07,1.53E-07,1.93E-07,2.33E-07,1.43E-07
459,4.77E-01,2.99E-02,7.95E-01,1.41E-06,5.33E-07,1.00E-06,1.87E-07,2.61E-07,9.10E-08
460,4.88E-01,8.95E-03,8.00E-01,2.31E-06,7.26E-07,1.87E-06,1.82E-07,2.87E-07,3.90E-08
461,4.91E-01,5.28E-03,8.00E-01,3.11E-06,7.21E-07,3.08E-06,1.67E-07,3.42E-07,1.95E-08
462,4.93E-01,1.61E-03,8.00E-01,3.92E-06,7.17E-07,4.28E-06,1.52E-07,3.97E-07,1.11E-10
