spectrum (nm),reflectance
572.58,0.103207619
572.94,0.103515134
573.29,0.103913911
573.64,0.103831683
573.99,0.103800055
574.34,0.104320573
574.7,0.104123239
575.05,0.103954089
575.4,0.104219125
575.75,0.104255568
576.11,0.104485461
576.46,0.104031164
576.81,0.104302076
577.16,0.104165854
577.51,0.104355549
577.86,0.104280862
578.22,0.10426405
578.57,0.104387937
578.92,0.104316532
579.27,0.104139617
579.62,0.104234657
579.97,0.10429965
580.33,0.10427741
580.68,0.10437056
581.03,0.104163718
581.38,0.104249488
581.73,0.104063268
582.08,0.104007865
582.43,0.103934688
582.78,0.10373874
583.14,0.103809006
583.49,0.10352488
583.84,0.103372
584.19,0.103169971
584.54,0.103194136
584.89,0.102761108
585.24,0.102320067
585.59,0.102224732
585.94,0.10212823
586.29,0.101691089
586.65,0.101673881
587,0.101277832
587.35,0.101152635
587.7,0.100785037
588.05,0.100612422
588.4,0.100485649
588.75,0.10002197
589.1,0.09978877
589.45,0.099718273
589.8,0.099452665
590.15,0.099442106
590.5,0.099826269
590.85,0.099968961
591.2,0.100031031
591.55,0.100124568
591.9,0.100033344
592.25,0.100135139
592.6,0.100285812
592.95,0.100678714
593.3,0.101230628
593.65,0.1012063
594,0.101123236
594.35,0.101409082
594.7,0.101761602
595.05,0.102051086
595.4,0.102632935
595.75,0.103103218
596.1,0.103378283
596.45,0.103787078
596.8,0.103728216
597.15,0.10427638
597.5,0.104722665
597.85,0.105137161
598.2,0.105727375
598.55,0.106084989
598.9,0.106454455
599.24,0.107153352
599.59,0.107399363
599.94,0.107849219
600.29,0.108227053
600.64,0.108646058
600.99,0.1091992
601.34,0.109474557
601.69,0.109800892
602.04,0.109895592
602.39,0.110068916
602.73,0.110428003
603.08,0.11060174
603.43,0.110935347
603.78,0.111216174
604.13,0.111249351
604.48,0.111429106
604.83,0.11138145
605.18,0.111394524
605.52,0.111199594
605.87,0.111473543
606.22,0.110973216
606.57,0.110672209
606.92,0.110669262
607.27,0.110191709
607.61,0.110127646
607.96,0.109590106
608.31,0.109873341
608.66,0.109288925
609.01,0.108724989
609.36,0.108720035
609.7,0.10829639
610.05,0.107718788
610.4,0.107370559
610.75,0.107313074
611.1,0.106709726
611.44,0.10639072
611.79,0.10605929
612.14,0.105554936
612.49,0.105296147
612.83,0.104686422
613.18,0.10418265
613.53,0.103746327
613.88,0.102896393
614.22,0.102605054
614.57,0.102243547
614.92,0.101987197
615.27,0.101338097
615.61,0.101313821
615.96,0.100774513
616.31,0.10025554
616.66,0.100008839
617,0.099475716
617.35,0.099190787
617.7,0.098750298
618.04,0.098754535
618.39,0.098217334
618.74,0.097875536
619.08,0.09775042
619.43,0.097454663
619.78,0.096861521
620.12,0.096759922
620.47,0.096708333
620.82,0.096392092
621.16,0.096004229
621.51,0.095870636
621.86,0.095702364
622.2,0.095591766
622.55,0.095250074
622.9,0.094848221
623.24,0.095333924
623.59,0.094690558
623.94,0.094498427
624.28,0.094408825
624.63,0.094466201
624.98,0.094003504
625.32,0.094231819
625.67,0.094023045
626.01,0.093417612
626.36,0.093462005
626.71,0.09341822
627.05,0.093124033
627.4,0.092866193
627.74,0.09315772
628.09,0.092382456
628.43,0.092340856
628.78,0.092530846
629.13,0.09179545
629.47,0.091510378
629.82,0.091545366
630.16,0.09166615
630.51,0.091464037
630.85,0.091006621
631.2,0.091176467
631.54,0.090739592
631.89,0.090561719
632.24,0.090329452
632.58,0.0904769
632.93,0.090219168
633.27,0.089966657
633.62,0.089711632
633.96,0.089828611
634.31,0.089407872
634.65,0.089639097
635,0.089431043
635.34,0.089335817
635.69,0.089901994
636.03,0.089074594
636.38,0.089080071
636.72,0.089166912
637.07,0.089098498
637.41,0.089268525
637.75,0.089619156
638.1,0.089003963
638.44,0.088944702
638.79,0.089055425
639.13,0.089012185
639.48,0.088937915
639.82,0.089317466
640.17,0.088810402
640.51,0.088874012
640.85,0.089247612
641.2,0.08885147
641.54,0.088963151
641.89,0.088418911
642.23,0.088565656
642.57,0.088633349
642.92,0.08831751
643.26,0.088279918
643.61,0.088315332
643.95,0.088147505
644.29,0.088047389
644.64,0.088249233
644.98,0.088227417
645.33,0.087723266
645.67,0.08801096
646.01,0.087219427
646.36,0.087732652
646.7,0.087279064
647.04,0.08725762
647.39,0.087127159
647.73,0.086891716
648.07,0.087271602
648.42,0.086667955
648.76,0.086938999
649.1,0.086829396
649.45,0.086786355
649.79,0.086660117
650.13,0.086947263
650.48,0.08635659
650.82,0.086472032
651.16,0.086100156
651.5,0.085845737
651.85,0.086104308
652.19,0.085598851
652.53,0.085232007
