muricata,reflection
522.86,0.091013187
523.22,0.092612944
523.58,0.092252164
523.94,0.091231366
524.29,0.093545435
524.65,0.09263351
525.01,0.090357909
525.37,0.092855328
525.72,0.089149099
526.08,0.08628727
526.44,0.08574032
526.8,0.087782487
527.15,0.085959547
527.51,0.085307346
527.87,0.090034437
528.23,0.086868403
528.58,0.086316903
528.94,0.08878054
529.3,0.086421407
529.66,0.08704576
530.01,0.088697522
530.37,0.089268195
530.73,0.088573497
531.08,0.089547435
531.44,0.087258239
531.8,0.085868254
532.15,0.086636829
532.51,0.086760643
532.87,0.085792686
533.23,0.086707624
533.58,0.083231339
533.94,0.083977687
534.3,0.08491453
534.65,0.08580038
535.01,0.084253371
535.37,0.087277974
535.72,0.087323915
536.08,0.084507176
536.43,0.082428012
536.79,0.082054045
537.15,0.084318962
537.5,0.083964831
537.86,0.084958795
538.22,0.081662664
538.57,0.081920686
538.93,0.079434164
539.29,0.081415375
539.64,0.080142388
540,0.082018285
540.35,0.078178923
540.71,0.077731652
541.07,0.076684446
541.42,0.079545081
541.78,0.080659595
542.13,0.083735566
542.49,0.080204542
542.84,0.078700003
543.2,0.07764835
543.56,0.07909731
543.91,0.080445242
544.27,0.081088343
544.62,0.082030532
544.98,0.079479581
545.33,0.078702982
545.69,0.080695057
546.04,0.079318524
546.4,0.078065677
546.75,0.078503241
547.11,0.080095149
547.47,0.080214771
547.82,0.080002056
548.18,0.080544649
548.53,0.078684045
548.89,0.078081426
549.24,0.076972299
549.6,0.080444353
549.95,0.079976446
550.31,0.079748273
550.66,0.079411927
551.02,0.079821563
551.37,0.078486537
551.72,0.075877285
552.08,0.079165948
552.43,0.078203337
552.79,0.078623793
553.14,0.077680525
553.5,0.079778001
553.85,0.079110266
554.21,0.077984809
554.56,0.076164262
554.92,0.077226947
555.27,0.077635853
555.62,0.078016273
555.98,0.079492464
556.33,0.077994602
556.69,0.076073602
557.04,0.078012337
557.4,0.075958402
557.75,0.07665935
558.1,0.07375432
558.46,0.075598815
558.81,0.075394344
559.17,0.074455313
559.52,0.073448275
559.87,0.075095382
560.23,0.076583539
560.58,0.077566279
560.93,0.0739877
561.29,0.073327753
561.64,0.073238161
561.99,0.074326871
562.35,0.07373049
562.7,0.07185973
563.06,0.072779621
563.41,0.073873263
563.76,0.07274072
564.12,0.073085524
564.47,0.072803019
564.82,0.073098321
565.18,0.070605236
565.53,0.068455723
565.88,0.068730971
566.23,0.070793815
566.59,0.067493804
566.94,0.071159163
567.29,0.066506422
567.65,0.07008399
568,0.070973432
568.35,0.067279077
568.71,0.067606974
569.06,0.068167682
569.41,0.066681977
569.76,0.065741337
570.12,0.067198293
570.47,0.06424647
570.82,0.063186048
571.17,0.065630264
571.53,0.061153327
571.88,0.063007065
572.23,0.064424127
572.58,0.060259598
572.94,0.061694555
573.29,0.06083119
573.64,0.061528408
573.99,0.061869328
574.34,0.064063018
574.7,0.061286556
575.05,0.061831276
575.4,0.058018731
575.75,0.059297536
576.11,0.057404114
576.46,0.057194159
576.81,0.055311784
577.16,0.05980593
577.51,0.057929513
577.86,0.054370728
578.22,0.057500849
578.57,0.057103412
578.92,0.05568961
579.27,0.056149003
579.62,0.051905679
579.97,0.05287764
580.33,0.053305753
580.68,0.053344606
581.03,0.052922461
581.38,0.052684797
581.73,0.051837369
582.08,0.052024513
582.43,0.050622419
582.78,0.0522416
583.14,0.052204325
583.49,0.051574551
583.84,0.049941875
584.19,0.050636895
584.54,0.050086253
584.89,0.051850059
585.24,0.049084647
585.59,0.051878595
585.94,0.050207242
586.29,0.049921058
586.65,0.049746556
587,0.047844394
587.35,0.048168558
587.7,0.050030483
588.05,0.047430075
588.4,0.048126599
588.75,0.04707898
589.1,0.04782316
589.45,0.048458091
589.8,0.042582107
590.15,0.044858218
590.5,0.04752973
590.85,0.046753017
591.2,0.047782908
591.55,0.04604244
591.9,0.049703202
592.25,0.047685691
592.6,0.05161878
592.95,0.046657538
593.3,0.047154621
593.65,0.049752843
594,0.04810087
594.35,0.048846558
594.7,0.049717795
595.05,0.048278969
595.4,0.050180028
595.75,0.050486527
596.1,0.051623594
596.45,0.049686709
596.8,0.052637054
597.15,0.051702191
597.5,0.054556272
597.85,0.049753125
598.2,0.050463244
598.55,0.056337791
598.9,0.056562278
599.24,0.055058183
599.59,0.053526411
599.94,0.05417392
600.29,0.055115078
600.64,0.057863146
600.99,0.058445059
601.34,0.057520804
601.69,0.058575747
602.04,0.058700344
602.39,0.060393532
602.73,0.060557961
603.08,0.062110457
603.43,0.062634494
603.78,0.060913393
604.13,0.059901364
604.48,0.062722246
604.83,0.066433528
605.18,0.065797986
605.52,0.066379244
605.87,0.06508328
606.22,0.070248907
606.57,0.066243049
606.92,0.066874547
607.27,0.069625294
607.61,0.071006112
607.96,0.072051586
608.31,0.069431694
608.66,0.074639839
609.01,0.076186952
609.36,0.074067835
609.7,0.075993939
610.05,0.078314222
610.4,0.074866913
610.75,0.080450971
611.1,0.078169319
611.44,0.078874494
611.79,0.078767814
612.14,0.082948094
612.49,0.083545891
612.83,0.077947616
613.18,0.081671617
613.53,0.085563561
613.88,0.083753894
614.22,0.084256734
614.57,0.086695053
614.92,0.085967523
615.27,0.086582203
